Predicted Frequency,Stepper Position
7025085,62223
7025154,62244
7025224,62265
7025294,62286
7025364,62307
7025434,62328
7025503,62349
7025573,62370
7025643,62391
7025713,62412
7025786,62434
7025856,62455
7025926,62476
7025995,62497
7026065,62518
7026135,62539
7026205,62560
7026275,62581
7026344,62602
7026414,62623
7026484,62644
7026554,62665
7026624,62686
7026697,62708
7026767,62729
7026836,62750
7026906,62771
7026976,62792
7027046,62813
7027116,62834
7027186,62855
7027255,62876
7027325,62897
7027395,62918
7027465,62939
7027535,62960
7027608,62982
7027678,63003
7027747,63024
7027817,63045
7027887,63066
7027957,63087
7028027,63108
7028097,63129
7028166,63150
7028236,63171
7028306,63192
7028376,63213
7028446,63234
7028519,63256
7028589,63277
7028658,63298
7028728,63319
7028798,63340
7028868,63361
7028938,63382
7029008,63403
7029077,63424
7029147,63445
7029217,63466
7029287,63487
7029357,63508
7029430,63530
7029500,63551
7029570,63572
7029640,63593
7029709,63614
7029779,63635
7029849,63656
7029919,63677
7029989,63698
7030059,63719
7030128,63740
7030198,63761
7030268,63782
7030341,63804
7030411,63825
7030481,63846
7030551,63867
7030621,63888
7030691,63909
7030760,63930
7030830,63951
7030900,63972
7030970,63993
7031040,64014
7031110,64035
7031179,64056
7031253,64078
7031323,64099
7031392,64120
7031462,64141
7031532,64162
7031602,64183
7031672,64204
7031742,64225
7031812,64246
7031881,64267
7031951,64288
7032021,64309
7032091,64330
7032164,64352
7032234,64373
7032304,64394
7032374,64415
7032444,64436
7032514,64457
7032583,64478
7032653,64499
7032723,64520
7032793,64541
7032863,64562
7032933,64583
7033003,64604
7033072,64625
7033146,64647
7033216,64668
7033285,64689
7033355,64710
7033425,64731
7033495,64752
7033565,64773
7033635,64794
7033705,64815
7033775,64836
7033844,64857
7033914,64878
7033984,64899
7034057,64921
7034127,64942
7034197,64963
7034267,64984
7034337,65005
7034407,65026
7034477,65047
7034547,65068
7034616,65089
7034686,65110
7034756,65131
7034826,65152
7034896,65173
7034969,65195
7035039,65216
7035109,65237
7035179,65258
7035249,65279
7035319,65300
7035389,65321
7035459,65342
7035528,65363
7035598,65384
7035668,65405
7035738,65426
7035808,65447
7035881,65469
7035951,65490
7036021,65511
7036091,65532
7036161,65553
7036231,65574
7036301,65595
7036371,65616
7036440,65637
7036510,65658
7036580,65679
7036650,65700
7036720,65721
7036793,65743
7036863,65764
7036933,65785
7037003,65806
7037073,65827
7037143,65848
7037213,65869
7037283,65890
7037353,65911
7037423,65932
7037492,65953
7037562,65974
7037632,65995
7037706,66017
7037775,66038
7037845,66059
7037915,66080
7037985,66101
7038055,66122
7038125,66143
7038195,66164
7038265,66185
7038335,66206
7038405,66227
7038475,66248
7038545,66269
7038618,66291
7038688,66312
7038758,66333
7038828,66354
7038898,66375
7038967,66396
7039037,66417
7039107,66438
7039177,66459
7039247,66480
7039317,66501
7039387,66522
7039457,66543
7039530,66565
7039600,66586
7039670,66607
7039740,66628
7039810,66649
7039880,66670
7039950,66691
7040020,66712
7040090,66733
7040160,66754
7040230,66775
7040300,66796
7040370,66817
7040439,66838
7040513,66860
7040583,66881
7040653,66902
7040723,66923
7040793,66944
7040862,66965
7040932,66986
7041002,67007
7041072,67028
7041142,67049
7041212,67070
7041282,67091
7041352,67112
7041425,67134
7041495,67155
7041565,67176
7041635,67197
7041705,67218
7041775,67239
7041845,67260
7041915,67281
7041985,67302
7042055,67323
7042125,67344
7042195,67365
7042265,67386
7042338,67408
7042408,67429
7042478,67450
7042548,67471
7042618,67492
7042688,67513
7042758,67534
7042828,67555
7042898,67576
7042968,67597
7043038,67618
7043108,67639
7043178,67660
7043251,67682
7043321,67703
7043391,67724
7043461,67745
7043531,67766
7043601,67787
7043671,67808
7043741,67829
7043811,67850
7043881,67871
7043951,67892
7044021,67913
7044091,67934
7044164,67956
7044234,67977
7044304,67998
7044374,68019
7044444,68040
7044514,68061
7044584,68082
7044654,68103
7044724,68124
7044794,68145
7044864,68166
7044934,68187
7045004,68208
7045077,68230
7045147,68251
7045217,68272
7045287,68293
7045357,68314
7045427,68335
7045497,68356
7045567,68377
7045637,68398
7045707,68419
7045777,68440
7045847,68461
7045917,68482
7045991,68504
7046061,68525
7046131,68546
7046201,68567
7046271,68588
7046341,68609
7046411,68630
7046481,68651
7046551,68672
7046621,68693
7046691,68714
7046761,68735
7046831,68756
7046904,68778
7046974,68799
7047044,68820
7047114,68841
7047184,68862
7047254,68883
7047324,68904
7047394,68925
7047464,68946
7047534,68967
7047604,68988
7047674,69009
7047744,69030
7047814,69051
7047888,69073
7047958,69094
7048028,69115
7048098,69136
7048168,69157
7048238,69178
7048308,69199
7048378,69220
7048448,69241
7048518,69262
7048588,69283
7048658,69304
7048728,69325
7048801,69347
7048871,69368
7048941,69389
7049011,69410
7049081,69431
7049151,69452
7049221,69473
7049291,69494
7049361,69515
7049432,69536
7049502,69557
7049572,69578
7049642,69599
7049715,69621
7049785,69642
7049855,69663
7049925,69684
7049995,69705
7050065,69726
7050135,69747
7050205,69768
7050275,69789
7050345,69810
7050415,69831
7050485,69852
7050556,69873
7050629,69895
7050699,69916
7050769,69937
7050839,69958
7050909,69979
7050979,70000
7051049,70021
7051119,70042
7051189,70063
7051259,70084
7051329,70105
7051399,70126
7051470,70147
7051543,70169
7051613,70190
7051683,70211
7051753,70232
7051823,70253
7051893,70274
7051963,70295
7052033,70316
7052103,70337
7052174,70358
7052244,70379
7052314,70400
7052384,70421
7052457,70443
7052527,70464
7052597,70485
7052667,70506
7052737,70527
7052807,70548
7052878,70569
7052948,70590
7053018,70611
7053088,70632
7053158,70653
7053228,70674
7053298,70695
7053371,70717
7053441,70738
7053512,70759
7053582,70780
7053652,70801
7053722,70822
7053792,70843
7053862,70864
7053932,70885
7054002,70906
7054072,70927
7054142,70948
7054212,70969
7054286,70991
7054356,71012
7054426,71033
7054496,71054
7054566,71075
7054636,71096
7054706,71117
7054776,71138
7054847,71159
7054917,71180
7054987,71201
7055057,71222
7055127,71243
7055197,71264
7055270,71286
7055341,71307
7055411,71328
7055481,71349
7055551,71370
7055621,71391
7055691,71412
7055761,71433
7055831,71454
7055901,71475
7055971,71496
7056042,71517
7056112,71538
7056185,71560
7056255,71581
7056325,71602
7056395,71623
7056466,71644
7056536,71665
7056606,71686
7056676,71707
7056746,71728
7056816,71749
7056886,71770
7056956,71791
7057026,71812
7057100,71834
7057170,71855
7057240,71876
7057310,71897
7057380,71918
7057451,71939
7057521,71960
7057591,71981
7057661,72002
7057731,72023
7057801,72044
7057871,72065
7057941,72086
7058015,72108
7058085,72129
7058155,72150
7058225,72171
7058295,72192
7058366,72213
7058436,72234
7058506,72255
7058576,72276
7058646,72297
7058716,72318
7058786,72339
7058856,72360
7058930,72382
7059000,72403
7059070,72424
7059140,72445
7059210,72466
7059281,72487
7059351,72508
7059421,72529
7059491,72550
7059561,72571
7059631,72592
7059701,72613
7059772,72634
7059845,72656
7059915,72677
7059985,72698
7060056,72719
7060126,72740
7060196,72761
7060266,72782
7060336,72803
7060406,72824
7060476,72845
7060547,72866
7060617,72887
7060687,72908
7060760,72930
7060831,72951
7060901,72972
7060971,72993
7061041,73014
7061111,73035
7061181,73056
7061252,73077
7061322,73098
7061392,73119
7061462,73140
7061532,73161
7061602,73182
7061676,73204
7061746,73225
7061816,73246
7061886,73267
7061957,73288
7062027,73309
7062097,73330
7062167,73351
7062237,73372
7062307,73393
7062378,73414
7062448,73435
7062518,73456
7062592,73478
7062662,73499
7062732,73520
7062802,73541
7062872,73562
7062942,73583
7063013,73604
7063083,73625
7063153,73646
7063223,73667
7063293,73688
7063364,73709
7063434,73730
7063504,73751
7063577,73773
7063648,73794
7063718,73815
7063788,73836
7063858,73857
7063928,73878
7063999,73899
7064069,73920
7064139,73941
7064209,73962
7064279,73983
7064350,74004
7064420,74025
7064493,74047
7064564,74068
7064634,74089
7064704,74110
7064774,74131
7064844,74152
7064915,74173
7064985,74194
7065055,74215
7065125,74236
7065195,74257
7065266,74278
7065336,74299
7065409,74321
7065480,74342
7065550,74363
7065620,74384
7065690,74405
7065760,74426
7065831,74447
7065901,74468
7065971,74489
7066041,74510
7066111,74531
7066182,74552
7066252,74573
7066325,74595
7066396,74616
7066466,74637
7066536,74658
7066606,74679
7066677,74700
7066747,74721
7066817,74742
7066887,74763
7066957,74784
7067028,74805
7067098,74826
7067168,74847
7067242,74869
7067312,74890
7067382,74911
7067452,74932
7067523,74953
7067593,74974
7067663,74995
7067733,75016
7067804,75037
7067874,75058
7067944,75079
7068014,75100
7068085,75121
7068158,75143
7068228,75164
7068299,75185
7068369,75206
7068439,75227
7068509,75248
7068580,75269
7068650,75290
7068720,75311
7068790,75332
7068861,75353
7068931,75374
7069001,75395
7069075,75417
7069145,75438
7069215,75459
7069285,75480
7069356,75501
7069426,75522
7069496,75543
7069567,75564
7069637,75585
7069707,75606
7069777,75627
7069848,75648
7069918,75669
7069991,75691
7070062,75712
7070132,75733
7070202,75754
7070272,75775
7070343,75796
7070413,75817
7070483,75838
7070554,75859
7070624,75880
7070694,75901
7070764,75922
7070835,75943
7070905,75964
7070979,75986
7071049,76007
7071119,76028
7071189,76049
7071260,76070
7071330,76091
7071400,76112
7071470,76133
7071541,76154
7071611,76175
7071681,76196
7071752,76217
7071822,76238
7071896,76260
7071966,76281
7072036,76302
7072106,76323
7072177,76344
7072247,76365
7072317,76386
7072388,76407
7072458,76428
7072528,76449
7072598,76470
7072669,76491
7072739,76512
7072813,76534
7072883,76555
7072953,76576
7073024,76597
7073094,76618
7073164,76639
7073234,76660
7073305,76681
7073375,76702
7073445,76723
7073516,76744
7073586,76765
7073656,76786
7073730,76808
7073800,76829
7073871,76850
7073941,76871
7074011,76892
7074081,76913
7074152,76934
7074222,76955
7074292,76976
7074363,76997
7074433,77018
7074503,77039
7074574,77060
7074647,77082
7074718,77103
7074788,77124
7074858,77145
7074929,77166
7074999,77187
7075069,77208
7075140,77229
7075210,77250
7075280,77271
7075351,77292
7075421,77313
7075491,77334
7075565,77356
7075635,77377
7075706,77398
7075776,77419
7075846,77440
7075917,77461
7075987,77482
7076057,77503
7076128,77524
7076198,77545
7076268,77566
7076339,77587
7076409,77608
7076483,77630
7076553,77651
7076623,77672
7076694,77693
7076764,77714
7076834,77735
7076905,77756
7076975,77777
7077045,77798
7077116,77819
7077186,77840
7077256,77861
7077327,77882
7077400,77904
7077471,77925
7077541,77946
7077611,77967
7077682,77988
7077752,78009
7077823,78030
7077893,78051
7077963,78072
7078034,78093
7078104,78114
7078174,78135
7078245,78156
7078315,78177
7078389,78199
7078459,78220
7078529,78241
7078600,78262
7078670,78283
7078741,78304
7078811,78325
7078881,78346
7078952,78367
7079022,78388
7079092,78409
7079163,78430
7079233,78451
7079307,78473
7079377,78494
7079448,78515
7079518,78536
7079588,78557
7079659,78578
7079729,78599
7079800,78620
7079870,78641
7079940,78662
7080011,78683
7080081,78704
7080151,78725
7080225,78747
7080296,78768
7080366,78789
7080436,78810
7080507,78831
7080577,78852
7080647,78873
7080718,78894
7080788,78915
7080859,78936
7080929,78957
7080999,78978
7081070,78999
7081144,79021
7081214,79042
7081284,79063
7081355,79084
7081425,79105
7081496,79126
7081566,79147
7081636,79168
7081707,79189
7081777,79210
7081848,79231
7081918,79252
7081988,79273
7082062,79295
7082133,79316
7082203,79337
7082273,79358
7082344,79379
7082414,79400
7082485,79421
7082555,79442
7082625,79463
7082696,79484
7082766,79505
7082837,79526
7082907,79547
7082981,79569
7083051,79590
7083122,79611
7083192,79632
7083263,79653
7083333,79674
7083403,79695
7083474,79716
7083544,79737
7083615,79758
7083685,79779
7083756,79800
7083826,79821
7083900,79843
7083970,79864
7084041,79885
7084111,79906
7084181,79927
7084252,79948
7084322,79969
7084393,79990
7084463,80011
7084534,80032
7084604,80053
7084675,80074
7084745,80095
7084819,80117
7084889,80138
7084960,80159
7085030,80180
7085101,80201
7085171,80222
7085241,80243
7085312,80264
7085382,80285
7085453,80306
7085523,80327
7085594,80348
7085664,80369
7085738,80391
7085808,80412
7085879,80433
7085949,80454
7086020,80475
7086090,80496
7086161,80517
7086231,80538
7086302,80559
7086372,80580
7086443,80601
7086513,80622
7086583,80643
7086654,80664
7086728,80686
7086798,80707
7086869,80728
7086939,80749
7087010,80770
7087080,80791
7087151,80812
7087221,80833
7087291,80854
7087362,80875
7087432,80896
7087503,80917
7087573,80938
7087647,80960
7087718,80981
7087788,81002
7087859,81023
7087929,81044
7088000,81065
7088070,81086
7088141,81107
7088211,81128
7088282,81149
7088352,81170
7088423,81191
7088493,81212
7088567,81234
7088637,81255
7088708,81276
7088778,81297
7088849,81318
7088919,81339
7088990,81360
7089060,81381
7089131,81402
7089201,81423
7089272,81444
7089342,81465
7089413,81486
7089487,81508
7089557,81529
7089628,81550
7089698,81571
7089769,81592
7089839,81613
7089910,81634
7089980,81655
7090051,81676
7090121,81697
7090192,81718
7090262,81739
7090333,81760
7090407,81782
7090477,81803
7090548,81824
7090618,81845
7090689,81866
7090759,81887
7090830,81908
7090900,81929
7090971,81950
7091041,81971
7091112,81992
7091182,82013
7091253,82034
7091327,82056
7091397,82077
7091468,82098
7091538,82119
7091609,82140
7091679,82161
7091750,82182
7091820,82203
7091891,82224
7091961,82245
7092032,82266
7092102,82287
7092173,82308
7092247,82330
7092317,82351
7092388,82372
7092458,82393
7092529,82414
7092600,82435
7092670,82456
7092741,82477
7092811,82498
7092882,82519
7092952,82540
7093023,82561
7093093,82582
7093167,82604
7093238,82625
7093308,82646
7093379,82667
7093449,82688
7093520,82709
7093591,82730
7093661,82751
7093732,82772
7093802,82793
7093873,82814
7093943,82835
7094014,82856
7094084,82877
7094158,82899
7094229,82920
7094300,82941
7094370,82962
7094441,82983
7094511,83004
7094582,83025
7094652,83046
7094723,83067
7094793,83088
7094864,83109
7094935,83130
7095005,83151
7095079,83173
7095150,83194
7095220,83215
7095291,83236
7095361,83257
7095432,83278
7095503,83299
7095573,83320
7095644,83341
7095714,83362
7095785,83383
7095855,83404
7095926,83425
7096000,83447
7096071,83468
7096141,83489
7096212,83510
7096282,83531
7096353,83552
7096423,83573
7096494,83594
7096565,83615
7096635,83636
7096706,83657
7096776,83678
7096847,83699
7096921,83721
7096992,83742
7097062,83763
7097133,83784
7097203,83805
7097274,83826
7097345,83847
7097415,83868
7097486,83889
7097556,83910
7097627,83931
7097698,83952
7097768,83973
7097842,83995
7097913,84016
7097983,84037
7098054,84058
7098125,84079
7098195,84100
7098266,84121
7098336,84142
7098407,84163
7098478,84184
7098548,84205
7098619,84226
7098690,84247
7098764,84269
7098834,84290
7098905,84311
7098975,84332
7099046,84353
7099117,84374
7099187,84395
7099258,84416
7099329,84437
7099399,84458
7099470,84479
7099540,84500
7099611,84521
7099685,84543
7099756,84564
7099826,84585
7099897,84606
7099968,84627
7100038,84648
7100109,84669
7100180,84690
7100250,84711
7100321,84732
7100391,84753
7100462,84774
7100533,84795
7100607,84817
7100677,84838
7100748,84859
7100819,84880
7100889,84901
7100960,84922
7101031,84943
7101101,84964
7101172,84985
7101243,85006
7101313,85027
7101384,85048
7101455,85069
7101525,85090
7101599,85112
7101670,85133
7101741,85154
7101811,85175
7101882,85196
7101953,85217
7102023,85238
7102094,85259
7102164,85280
7102235,85301
7102306,85322
7102376,85343
7102447,85364
7102521,85386
7102592,85407
7102663,85428
7102733,85449
7102804,85470
7102875,85491
7102945,85512
7103016,85533
7103087,85554
7103157,85575
7103228,85596
7103299,85617
7103369,85638
7103443,85660
7103514,85681
7103585,85702
7103655,85723
7103726,85744
7103797,85765
7103867,85786
7103938,85807
7104009,85828
7104080,85849
7104150,85870
7104221,85891
7104292,85912
7104366,85934
7104436,85955
7104507,85976
7104578,85997
7104648,86018
7104719,86039
7104790,86060
7104861,86081
7104931,86102
7105002,86123
7105073,86144
7105143,86165
7105214,86186
7105288,86208
7105359,86229
7105430,86250
7105500,86271
7105571,86292
7105642,86313
7105712,86334
7105783,86355
7105854,86376
7105925,86397
7105995,86418
7106066,86439
7106137,86460
7106211,86482
7106282,86503
7106352,86524
7106423,86545
7106494,86566
7106564,86587
7106635,86608
7106706,86629
7106777,86650
7106847,86671
7106918,86692
7106989,86713
7107060,86734
7107134,86756
7107204,86777
7107275,86798
7107346,86819
7107417,86840
7107487,86861
7107558,86882
7107629,86903
7107700,86924
7107770,86945
7107841,86966
7107912,86987
7107982,87008
7108057,87030
7108127,87051
7108198,87072
7108269,87093
7108340,87114
7108410,87135
7108481,87156
7108552,87177
7108623,87198
7108693,87219
7108764,87240
7108835,87261
7108906,87282
7108976,87303
7109051,87325
7109121,87346
7109192,87367
7109263,87388
7109334,87409
7109404,87430
7109475,87451
7109546,87472
7109617,87493
7109687,87514
7109758,87535
7109829,87556
7109900,87577
7109974,87599
7110045,87620
7110115,87641
7110186,87662
7110257,87683
7110328,87704
7110398,87725
7110469,87746
7110540,87767
7110611,87788
7110682,87809
7110752,87830
7110823,87851
7110897,87873
7110968,87894
7111039,87915
7111110,87936
7111180,87957
7111251,87978
7111322,87999
7111393,88020
7111464,88041
7111534,88062
7111605,88083
7111676,88104
7111747,88125
7111821,88147
7111892,88168
7111963,88189
7112033,88210
7112104,88231
7112175,88252
7112246,88273
7112317,88294
7112387,88315
7112458,88336
7112529,88357
7112600,88378
7112671,88399
7112745,88421
7112816,88442
7112886,88463
7112957,88484
7113028,88505
7113099,88526
7113170,88547
7113240,88568
7113311,88589
7113382,88610
7113453,88631
7113524,88652
7113595,88673
7113669,88695
7113740,88716
7113810,88737
7113881,88758
7113952,88779
7114023,88800
7114094,88821
7114165,88842
7114235,88863
7114306,88884
7114377,88905
7114448,88926
7114519,88947
7114593,88969
7114664,88990
7114735,89011
7114805,89032
7114876,89053
7114947,89074
7115018,89095
7115089,89116
7115160,89137
7115231,89158
7115301,89179
7115372,89200
7115443,89221
7115517,89243
7115588,89264
7115659,89285
7115730,89306
7115801,89327
7115872,89348
7115942,89369
7116013,89390
7116084,89411
7116155,89432
7116226,89453
7116297,89474
7116368,89495
7116442,89517
7116513,89538
7116583,89559
7116654,89580
7116725,89601
7116796,89622
7116867,89643
7116938,89664
7117009,89685
7117080,89706
7117150,89727
7117221,89748
7117292,89769
7117363,89790
7117437,89812
7117508,89833
7117579,89854
7117650,89875
7117721,89896
7117792,89917
7117863,89938
7117933,89959
7118004,89980
7118075,90001
7118146,90022
7118217,90043
7118288,90064
7118362,90086
7118433,90107
7118504,90128
7118575,90149
7118646,90170
7118717,90191
7118788,90212
7118858,90233
7118929,90254
7119000,90275
7119071,90296
7119142,90317
7119213,90338
7119287,90360
7119358,90381
7119429,90402
7119500,90423
7119571,90444
7119642,90465
7119713,90486
7119784,90507
7119854,90528
7119925,90549
7119996,90570
7120067,90591
7120138,90612
7120212,90634
7120283,90655
7120354,90676
7120425,90697
7120496,90718
7120567,90739
7120638,90760
7120709,90781
7120780,90802
7120851,90823
7120922,90844
7120993,90865
7121063,90886
7121138,90908
7121209,90929
7121280,90950
7121351,90971
7121422,90992
7121492,91013
7121563,91034
7121634,91055
7121705,91076
7121776,91097
7121847,91118
7121918,91139
7121989,91160
7122063,91182
7122134,91203
7122205,91224
7122276,91245
7122347,91266
7122418,91287
7122489,91308
7122560,91329
7122631,91350
7122702,91371
7122773,91392
7122844,91413
7122915,91434
7122989,91456
7123060,91477
7123131,91498
7123202,91519
7123273,91540
7123344,91561
7123415,91582
7123486,91603
7123557,91624
7123628,91645
7123699,91666
7123770,91687
7123841,91708
7123915,91730
7123986,91751
7124057,91772
7124128,91793
7124199,91814
7124270,91835
7124341,91856
7124412,91877
7124483,91898
7124554,91919
7124625,91940
7124696,91961
7124767,91982
7124838,92003
7124912,92025
7124983,92046
7125054,92067
7125125,92088
7125196,92109
7125267,92130
7125338,92151
7125409,92172
7125480,92193
7125551,92214
7125622,92235
7125693,92256
7125764,92277
7125838,92299
7125909,92320
7125980,92341
7126051,92362
7126122,92383
7126193,92404
7126264,92425
7126335,92446
7126406,92467
7126477,92488
7126548,92509
7126619,92530
7126690,92551
7126765,92573
7126836,92594
7126907,92615
7126978,92636
7127049,92657
7127120,92678
7127191,92699
7127262,92720
7127333,92741
7127404,92762
7127475,92783
7127546,92804
7127617,92825
7127691,92847
7127762,92868
7127833,92889
7127904,92910
7127975,92931
7128046,92952
7128118,92973
7128189,92994
7128260,93015
7128331,93036
7128402,93057
7128473,93078
7128544,93099
7128618,93121
7128689,93142
7128760,93163
7128831,93184
7128902,93205
7128973,93226
7129044,93247
7129115,93268
7129186,93289
7129258,93310
7129329,93331
7129400,93352
7129471,93373
7129545,93395
7129616,93416
7129687,93437
7129758,93458
7129829,93479
7129900,93500
7129971,93521
7130043,93542
7130114,93563
7130185,93584
7130256,93605
7130327,93626
7130398,93647
7130472,93669
7130543,93690
7130614,93711
7130685,93732
7130757,93753
7130828,93774
7130899,93795
