Stepper Position,Predicted Frequency
62349,7025503
62370,7025573
62391,7025643
62412,7025713
62434,7025786
62455,7025856
62476,7025926
62497,7025995
62518,7026065
62539,7026135
62560,7026205
62581,7026275
62602,7026344
62623,7026414
62644,7026484
62665,7026554
62686,7026624
62708,7026697
62729,7026767
62750,7026836
62771,7026906
62792,7026976
62813,7027046
62834,7027116
62855,7027186
62876,7027255
62897,7027325
62918,7027395
62939,7027465
62960,7027535
62982,7027608
63003,7027678
63024,7027747
63045,7027817
63066,7027887
63087,7027957
63108,7028027
63129,7028097
63150,7028166
63171,7028236
63192,7028306
63213,7028376
63234,7028446
63256,7028519
63277,7028589
63298,7028658
63319,7028728
63340,7028798
63361,7028868
63382,7028938
63403,7029008
63424,7029077
63445,7029147
63466,7029217
63487,7029287
63508,7029357
63530,7029430
63551,7029500
63572,7029570
63593,7029640
63614,7029709
63635,7029779
63656,7029849
63677,7029919
63698,7029989
63719,7030059
63740,7030128
63761,7030198
63782,7030268
63804,7030341
63825,7030411
63846,7030481
63867,7030551
63888,7030621
63909,7030691
63930,7030760
63951,7030830
63972,7030900
63993,7030970
64014,7031040
64035,7031110
64056,7031179
64078,7031253
64099,7031323
64120,7031392
64141,7031462
64162,7031532
64183,7031602
64204,7031672
64225,7031742
64246,7031812
64267,7031881
64288,7031951
64309,7032021
64330,7032091
64352,7032164
64373,7032234
64394,7032304
64415,7032374
64436,7032444
64457,7032514
64478,7032583
64499,7032653
64520,7032723
64541,7032793
64562,7032863
64583,7032933
64604,7033003
64625,7033072
64647,7033146
64668,7033216
64689,7033285
64710,7033355
64731,7033425
64752,7033495
64773,7033565
64794,7033635
64815,7033705
64836,7033775
64857,7033844
64878,7033914
64899,7033984
64921,7034057
64942,7034127
64963,7034197
64984,7034267
65005,7034337
65026,7034407
65047,7034477
65068,7034547
65089,7034616
65110,7034686
65131,7034756
65152,7034826
65173,7034896
65195,7034969
65216,7035039
65237,7035109
65258,7035179
65279,7035249
65300,7035319
65321,7035389
65342,7035459
65363,7035528
65384,7035598
65405,7035668
65426,7035738
65447,7035808
65469,7035881
65490,7035951
65511,7036021
65532,7036091
65553,7036161
65574,7036231
65595,7036301
65616,7036371
65637,7036440
65658,7036510
65679,7036580
65700,7036650
65721,7036720
65743,7036793
65764,7036863
65785,7036933
65806,7037003
65827,7037073
65848,7037143
65869,7037213
65890,7037283
65911,7037353
65932,7037423
65953,7037492
65974,7037562
65995,7037632
66017,7037706
66038,7037775
66059,7037845
66080,7037915
66101,7037985
66122,7038055
66143,7038125
66164,7038195
66185,7038265
66206,7038335
66227,7038405
66248,7038475
66269,7038545
66291,7038618
66312,7038688
66333,7038758
66354,7038828
66375,7038898
66396,7038967
66417,7039037
66438,7039107
66459,7039177
66480,7039247
66501,7039317
66522,7039387
66543,7039457
66565,7039530
66586,7039600
66607,7039670
66628,7039740
66649,7039810
66670,7039880
66691,7039950
66712,7040020
66733,7040090
66754,7040160
66775,7040230
66796,7040300
66817,7040370
66838,7040439
66860,7040513
66881,7040583
66902,7040653
66923,7040723
66944,7040793
66965,7040862
66986,7040932
67007,7041002
67028,7041072
67049,7041142
67070,7041212
67091,7041282
67112,7041352
67134,7041425
67155,7041495
67176,7041565
67197,7041635
67218,7041705
67239,7041775
67260,7041845
67281,7041915
67302,7041985
67323,7042055
67344,7042125
67365,7042195
67386,7042265
67408,7042338
67429,7042408
67450,7042478
67471,7042548
67492,7042618
67513,7042688
67534,7042758
67555,7042828
67576,7042898
67597,7042968
67618,7043038
67639,7043108
67660,7043178
67682,7043251
67703,7043321
67724,7043391
67745,7043461
67766,7043531
67787,7043601
67808,7043671
67829,7043741
67850,7043811
67871,7043881
67892,7043951
67913,7044021
67934,7044091
67956,7044164
67977,7044234
67998,7044304
68019,7044374
68040,7044444
68061,7044514
68082,7044584
68103,7044654
68124,7044724
68145,7044794
68166,7044864
68187,7044934
68208,7045004
68230,7045077
68251,7045147
68272,7045217
68293,7045287
68314,7045357
68335,7045427
68356,7045497
68377,7045567
68398,7045637
68419,7045707
68440,7045777
68461,7045847
68482,7045917
68504,7045991
68525,7046061
68546,7046131
68567,7046201
68588,7046271
68609,7046341
68630,7046411
68651,7046481
68672,7046551
68693,7046621
68714,7046691
68735,7046761
68756,7046831
68778,7046904
68799,7046974
68820,7047044
68841,7047114
68862,7047184
68883,7047254
68904,7047324
68925,7047394
68946,7047464
68967,7047534
68988,7047604
69009,7047674
69030,7047744
69051,7047814
69073,7047888
69094,7047958
69115,7048028
69136,7048098
69157,7048168
69178,7048238
69199,7048308
69220,7048378
69241,7048448
69262,7048518
69283,7048588
69304,7048658
69325,7048728
69347,7048801
69368,7048871
69389,7048941
69410,7049011
69431,7049081
69452,7049151
69473,7049221
69494,7049291
69515,7049361
69536,7049432
69557,7049502
69578,7049572
69599,7049642
69621,7049715
69642,7049785
69663,7049855
69684,7049925
69705,7049995
69726,7050065
69747,7050135
69768,7050205
69789,7050275
69810,7050345
69831,7050415
69852,7050485
69873,7050556
69895,7050629
69916,7050699
69937,7050769
69958,7050839
69979,7050909
70000,7050979
70021,7051049
70042,7051119
70063,7051189
70084,7051259
70105,7051329
70126,7051399
70147,7051470
70169,7051543
70190,7051613
70211,7051683
70232,7051753
70253,7051823
70274,7051893
70295,7051963
70316,7052033
70337,7052103
70358,7052174
70379,7052244
70400,7052314
70421,7052384
70443,7052457
70464,7052527
70485,7052597
70506,7052667
70527,7052737
70548,7052807
70569,7052878
70590,7052948
70611,7053018
70632,7053088
70653,7053158
70674,7053228
70695,7053298
70717,7053371
70738,7053441
70759,7053512
70780,7053582
70801,7053652
70822,7053722
70843,7053792
70864,7053862
70885,7053932
70906,7054002
70927,7054072
70948,7054142
70969,7054212
70991,7054286
71012,7054356
71033,7054426
71054,7054496
71075,7054566
71096,7054636
71117,7054706
71138,7054776
71159,7054847
71180,7054917
71201,7054987
71222,7055057
71243,7055127
71264,7055197
71286,7055270
71307,7055341
71328,7055411
71349,7055481
71370,7055551
71391,7055621
71412,7055691
71433,7055761
71454,7055831
71475,7055901
71496,7055971
71517,7056042
71538,7056112
71560,7056185
71581,7056255
71602,7056325
71623,7056395
71644,7056466
71665,7056536
71686,7056606
71707,7056676
71728,7056746
71749,7056816
71770,7056886
71791,7056956
71812,7057026
71834,7057100
71855,7057170
71876,7057240
71897,7057310
71918,7057380
71939,7057451
71960,7057521
71981,7057591
72002,7057661
72023,7057731
72044,7057801
72065,7057871
72086,7057941
72108,7058015
72129,7058085
72150,7058155
72171,7058225
72192,7058295
72213,7058366
72234,7058436
72255,7058506
72276,7058576
72297,7058646
72318,7058716
72339,7058786
72360,7058856
72382,7058930
72403,7059000
72424,7059070
72445,7059140
72466,7059210
72487,7059281
72508,7059351
72529,7059421
72550,7059491
72571,7059561
72592,7059631
72613,7059701
72634,7059772
72656,7059845
72677,7059915
72698,7059985
72719,7060056
72740,7060126
72761,7060196
72782,7060266
72803,7060336
72824,7060406
72845,7060476
72866,7060547
72887,7060617
72908,7060687
72930,7060760
72951,7060831
72972,7060901
72993,7060971
73014,7061041
73035,7061111
73056,7061181
73077,7061252
73098,7061322
73119,7061392
73140,7061462
73161,7061532
73182,7061602
73204,7061676
73225,7061746
73246,7061816
73267,7061886
73288,7061957
73309,7062027
73330,7062097
73351,7062167
73372,7062237
73393,7062307
73414,7062378
73435,7062448
73456,7062518
73478,7062592
73499,7062662
73520,7062732
73541,7062802
73562,7062872
73583,7062942
73604,7063013
73625,7063083
73646,7063153
73667,7063223
73688,7063293
73709,7063364
73730,7063434
73751,7063504
73773,7063577
73794,7063648
73815,7063718
73836,7063788
73857,7063858
73878,7063928
73899,7063999
73920,7064069
73941,7064139
73962,7064209
73983,7064279
74004,7064350
74025,7064420
74047,7064493
74068,7064564
74089,7064634
74110,7064704
74131,7064774
74152,7064844
74173,7064915
74194,7064985
74215,7065055
74236,7065125
74257,7065195
74278,7065266
74299,7065336
74321,7065409
74342,7065480
74363,7065550
74384,7065620
74405,7065690
74426,7065760
74447,7065831
74468,7065901
74489,7065971
74510,7066041
74531,7066111
74552,7066182
74573,7066252
74595,7066325
74616,7066396
74637,7066466
74658,7066536
74679,7066606
74700,7066677
74721,7066747
74742,7066817
74763,7066887
74784,7066957
74805,7067028
74826,7067098
74847,7067168
74869,7067242
74890,7067312
74911,7067382
74932,7067452
74953,7067523
74974,7067593
74995,7067663
75016,7067733
75037,7067804
75058,7067874
75079,7067944
75100,7068014
75121,7068085
75143,7068158
75164,7068228
75185,7068299
75206,7068369
75227,7068439
75248,7068509
75269,7068580
75290,7068650
75311,7068720
75332,7068790
75353,7068861
75374,7068931
75395,7069001
75417,7069075
75438,7069145
75459,7069215
75480,7069285
75501,7069356
75522,7069426
75543,7069496
75564,7069567
75585,7069637
75606,7069707
75627,7069777
75648,7069848
75669,7069918
75691,7069991
75712,7070062
75733,7070132
75754,7070202
75775,7070272
75796,7070343
75817,7070413
75838,7070483
75859,7070554
75880,7070624
75901,7070694
75922,7070764
75943,7070835
75964,7070905
75986,7070979
76007,7071049
76028,7071119
76049,7071189
76070,7071260
76091,7071330
76112,7071400
76133,7071470
76154,7071541
76175,7071611
76196,7071681
76217,7071752
76238,7071822
76260,7071896
76281,7071966
76302,7072036
76323,7072106
76344,7072177
76365,7072247
76386,7072317
76407,7072388
76428,7072458
76449,7072528
76470,7072598
76491,7072669
76512,7072739
76534,7072813
76555,7072883
76576,7072953
76597,7073024
76618,7073094
76639,7073164
76660,7073234
76681,7073305
76702,7073375
76723,7073445
76744,7073516
76765,7073586
76786,7073656
76808,7073730
76829,7073800
76850,7073871
76871,7073941
76892,7074011
76913,7074081
76934,7074152
76955,7074222
76976,7074292
76997,7074363
77018,7074433
77039,7074503
77060,7074574
77082,7074647
77103,7074718
77124,7074788
77145,7074858
77166,7074929
77187,7074999
77208,7075069
77229,7075140
77250,7075210
77271,7075280
77292,7075351
77313,7075421
77334,7075491
77356,7075565
77377,7075635
77398,7075706
77419,7075776
77440,7075846
77461,7075917
77482,7075987
77503,7076057
77524,7076128
77545,7076198
77566,7076268
77587,7076339
77608,7076409
77630,7076483
77651,7076553
77672,7076623
77693,7076694
77714,7076764
77735,7076834
77756,7076905
77777,7076975
77798,7077045
77819,7077116
77840,7077186
77861,7077256
77882,7077327
77904,7077400
77925,7077471
77946,7077541
77967,7077611
77988,7077682
78009,7077752
78030,7077823
78051,7077893
78072,7077963
78093,7078034
78114,7078104
78135,7078174
78156,7078245
78177,7078315
78199,7078389
78220,7078459
78241,7078529
78262,7078600
78283,7078670
78304,7078741
78325,7078811
78346,7078881
78367,7078952
78388,7079022
78409,7079092
78430,7079163
78451,7079233
78473,7079307
78494,7079377
78515,7079448
78536,7079518
78557,7079588
78578,7079659
78599,7079729
78620,7079800
78641,7079870
78662,7079940
78683,7080011
78704,7080081
78725,7080151
78747,7080225
78768,7080296
78789,7080366
78810,7080436
78831,7080507
78852,7080577
78873,7080647
78894,7080718
78915,7080788
78936,7080859
78957,7080929
78978,7080999
78999,7081070
79021,7081144
79042,7081214
79063,7081284
79084,7081355
79105,7081425
79126,7081496
79147,7081566
79168,7081636
79189,7081707
79210,7081777
79231,7081848
79252,7081918
79273,7081988
79295,7082062
79316,7082133
79337,7082203
79358,7082273
79379,7082344
79400,7082414
79421,7082485
79442,7082555
79463,7082625
79484,7082696
79505,7082766
79526,7082837
79547,7082907
79569,7082981
79590,7083051
79611,7083122
79632,7083192
79653,7083263
79674,7083333
79695,7083403
79716,7083474
79737,7083544
79758,7083615
79779,7083685
79800,7083756
79821,7083826
79843,7083900
79864,7083970
79885,7084041
79906,7084111
79927,7084181
79948,7084252
79969,7084322
79990,7084393
80011,7084463
80032,7084534
80053,7084604
80074,7084675
80095,7084745
80117,7084819
80138,7084889
80159,7084960
80180,7085030
80201,7085101
80222,7085171
80243,7085241
80264,7085312
80285,7085382
80306,7085453
80327,7085523
80348,7085594
80369,7085664
80391,7085738
80412,7085808
80433,7085879
80454,7085949
80475,7086020
80496,7086090
80517,7086161
80538,7086231
80559,7086302
80580,7086372
80601,7086443
80622,7086513
80643,7086583
80664,7086654
80686,7086728
80707,7086798
80728,7086869
80749,7086939
80770,7087010
80791,7087080
80812,7087151
80833,7087221
80854,7087291
80875,7087362
80896,7087432
80917,7087503
80938,7087573
80960,7087647
80981,7087718
81002,7087788
81023,7087859
81044,7087929
81065,7088000
81086,7088070
81107,7088141
81128,7088211
81149,7088282
81170,7088352
81191,7088423
81212,7088493
81234,7088567
81255,7088637
81276,7088708
81297,7088778
81318,7088849
81339,7088919
81360,7088990
81381,7089060
81402,7089131
81423,7089201
81444,7089272
81465,7089342
81486,7089413
81508,7089487
81529,7089557
81550,7089628
81571,7089698
81592,7089769
81613,7089839
81634,7089910
81655,7089980
81676,7090051
81697,7090121
81718,7090192
81739,7090262
81760,7090333
81782,7090407
81803,7090477
81824,7090548
81845,7090618
81866,7090689
81887,7090759
81908,7090830
81929,7090900
81950,7090971
81971,7091041
81992,7091112
82013,7091182
82034,7091253
82056,7091327
82077,7091397
82098,7091468
82119,7091538
82140,7091609
82161,7091679
82182,7091750
82203,7091820
82224,7091891
82245,7091961
82266,7092032
82287,7092102
82308,7092173
82330,7092247
82351,7092317
82372,7092388
82393,7092458
82414,7092529
82435,7092600
82456,7092670
82477,7092741
82498,7092811
82519,7092882
82540,7092952
82561,7093023
82582,7093093
82604,7093167
82625,7093238
82646,7093308
82667,7093379
82688,7093449
82709,7093520
82730,7093591
82751,7093661
82772,7093732
82793,7093802
82814,7093873
82835,7093943
82856,7094014
82877,7094084
82899,7094158
82920,7094229
82941,7094300
82962,7094370
82983,7094441
83004,7094511
83025,7094582
83046,7094652
83067,7094723
83088,7094793
83109,7094864
83130,7094935
83151,7095005
83173,7095079
83194,7095150
83215,7095220
83236,7095291
83257,7095361
83278,7095432
83299,7095503
83320,7095573
83341,7095644
83362,7095714
83383,7095785
83404,7095855
83425,7095926
83447,7096000
83468,7096071
83489,7096141
83510,7096212
83531,7096282
83552,7096353
83573,7096423
83594,7096494
83615,7096565
83636,7096635
83657,7096706
83678,7096776
83699,7096847
83721,7096921
83742,7096992
83763,7097062
83784,7097133
83805,7097203
83826,7097274
83847,7097345
83868,7097415
83889,7097486
83910,7097556
83931,7097627
83952,7097698
83973,7097768
83995,7097842
84016,7097913
84037,7097983
84058,7098054
84079,7098125
84100,7098195
84121,7098266
84142,7098336
84163,7098407
84184,7098478
84205,7098548
84226,7098619
84247,7098690
84269,7098764
84290,7098834
84311,7098905
84332,7098975
84353,7099046
84374,7099117
84395,7099187
84416,7099258
84437,7099329
84458,7099399
84479,7099470
84500,7099540
84521,7099611
84543,7099685
84564,7099756
84585,7099826
84606,7099897
84627,7099968
84648,7100038
84669,7100109
84690,7100180
84711,7100250
84732,7100321
84753,7100391
84774,7100462
84795,7100533
84817,7100607
84838,7100677
84859,7100748
84880,7100819
84901,7100889
84922,7100960
84943,7101031
84964,7101101
84985,7101172
85006,7101243
85027,7101313
85048,7101384
85069,7101455
85090,7101525
85112,7101599
85133,7101670
85154,7101741
85175,7101811
85196,7101882
85217,7101953
85238,7102023
85259,7102094
85280,7102164
85301,7102235
85322,7102306
85343,7102376
85364,7102447
85386,7102521
85407,7102592
85428,7102663
85449,7102733
85470,7102804
85491,7102875
85512,7102945
85533,7103016
85554,7103087
85575,7103157
85596,7103228
85617,7103299
85638,7103369
85660,7103443
85681,7103514
85702,7103585
85723,7103655
85744,7103726
85765,7103797
85786,7103867
85807,7103938
85828,7104009
85849,7104080
85870,7104150
85891,7104221
85912,7104292
85934,7104366
85955,7104436
85976,7104507
85997,7104578
86018,7104648
86039,7104719
86060,7104790
86081,7104861
86102,7104931
86123,7105002
86144,7105073
86165,7105143
86186,7105214
86208,7105288
86229,7105359
86250,7105430
86271,7105500
86292,7105571
86313,7105642
86334,7105712
86355,7105783
86376,7105854
86397,7105925
86418,7105995
86439,7106066
86460,7106137
86482,7106211
86503,7106282
86524,7106352
86545,7106423
86566,7106494
86587,7106564
86608,7106635
86629,7106706
86650,7106777
86671,7106847
86692,7106918
86713,7106989
86734,7107060
86756,7107134
86777,7107204
86798,7107275
86819,7107346
86840,7107417
86861,7107487
86882,7107558
86903,7107629
86924,7107700
86945,7107770
86966,7107841
86987,7107912
87008,7107982
87030,7108057
87051,7108127
87072,7108198
87093,7108269
87114,7108340
87135,7108410
87156,7108481
87177,7108552
87198,7108623
87219,7108693
87240,7108764
87261,7108835
87282,7108906
87303,7108976
87325,7109051
87346,7109121
87367,7109192
87388,7109263
87409,7109334
87430,7109404
87451,7109475
87472,7109546
87493,7109617
87514,7109687
87535,7109758
87556,7109829
87577,7109900
87599,7109974
87620,7110045
87641,7110115
87662,7110186
87683,7110257
87704,7110328
87725,7110398
87746,7110469
87767,7110540
87788,7110611
87809,7110682
87830,7110752
87851,7110823
87873,7110897
87894,7110968
87915,7111039
87936,7111110
87957,7111180
87978,7111251
87999,7111322
88020,7111393
88041,7111464
88062,7111534
88083,7111605
88104,7111676
88125,7111747
88147,7111821
88168,7111892
88189,7111963
88210,7112033
88231,7112104
88252,7112175
88273,7112246
88294,7112317
88315,7112387
88336,7112458
88357,7112529
88378,7112600
88399,7112671
88421,7112745
88442,7112816
88463,7112886
88484,7112957
88505,7113028
88526,7113099
88547,7113170
88568,7113240
88589,7113311
88610,7113382
88631,7113453
88652,7113524
88673,7113595
88695,7113669
88716,7113740
88737,7113810
88758,7113881
88779,7113952
88800,7114023
88821,7114094
88842,7114165
88863,7114235
88884,7114306
88905,7114377
88926,7114448
88947,7114519
88969,7114593
88990,7114664
89011,7114735
89032,7114805
89053,7114876
89074,7114947
89095,7115018
89116,7115089
89137,7115160
89158,7115231
89179,7115301
89200,7115372
89221,7115443
89243,7115517
89264,7115588
89285,7115659
89306,7115730
89327,7115801
89348,7115872
89369,7115942
89390,7116013
89411,7116084
89432,7116155
89453,7116226
89474,7116297
89495,7116368
89517,7116442
89538,7116513
89559,7116583
89580,7116654
89601,7116725
89622,7116796
89643,7116867
89664,7116938
89685,7117009
89706,7117080
89727,7117150
89748,7117221
89769,7117292
89790,7117363
89812,7117437
89833,7117508
89854,7117579
89875,7117650
89896,7117721
89917,7117792
89938,7117863
89959,7117933
89980,7118004
90001,7118075
90022,7118146
90043,7118217
90064,7118288
90086,7118362
90107,7118433
90128,7118504
90149,7118575
90170,7118646
90191,7118717
90212,7118788
90233,7118858
90254,7118929
90275,7119000
90296,7119071
90317,7119142
90338,7119213
90360,7119287
90381,7119358
90402,7119429
90423,7119500
90444,7119571
90465,7119642
90486,7119713
90507,7119784
90528,7119854
90549,7119925
90570,7119996
90591,7120067
90612,7120138
90634,7120212
90655,7120283
90676,7120354
90697,7120425
90718,7120496
90739,7120567
90760,7120638
90781,7120709
90802,7120780
90823,7120851
90844,7120922
90865,7120993
90886,7121063
90908,7121138
90929,7121209
90950,7121280
90971,7121351
90992,7121422
91013,7121492
91034,7121563
91055,7121634
91076,7121705
91097,7121776
91118,7121847
91139,7121918
91160,7121989
91182,7122063
91203,7122134
91224,7122205
91245,7122276
91266,7122347
91287,7122418
91308,7122489
91329,7122560
91350,7122631
91371,7122702
91392,7122773
91413,7122844
91434,7122915
91456,7122989
91477,7123060
91498,7123131
91519,7123202
91540,7123273
91561,7123344
91582,7123415
91603,7123486
91624,7123557
91645,7123628
91666,7123699
91687,7123770
91708,7123841
91730,7123915
91751,7123986
91772,7124057
91793,7124128
91814,7124199
91835,7124270
91856,7124341
91877,7124412
91898,7124483
91919,7124554
91940,7124625
91961,7124696
91982,7124767
92003,7124838
92025,7124912
92046,7124983
92067,7125054
92088,7125125
92109,7125196
92130,7125267
92151,7125338
92172,7125409
92193,7125480
92214,7125551
92235,7125622
92256,7125693
92277,7125764
92299,7125838
92320,7125909
92341,7125980
92362,7126051
92383,7126122
92404,7126193
92425,7126264
92446,7126335
92467,7126406
92488,7126477
92509,7126548
92530,7126619
92551,7126690
92573,7126765
92594,7126836
92615,7126907
92636,7126978
92657,7127049
92678,7127120
92699,7127191
92720,7127262
92741,7127333
92762,7127404
92783,7127475
92804,7127546
92825,7127617
92847,7127691
92868,7127762
92889,7127833
92910,7127904
92931,7127975
92952,7128046
92973,7128118
92994,7128189
93015,7128260
93036,7128331
93057,7128402
93078,7128473
93099,7128544
93121,7128618
93142,7128689
93163,7128760
93184,7128831
93205,7128902
93226,7128973
93247,7129044
93268,7129115
93289,7129186
93310,7129258
93331,7129329
93352,7129400
93373,7129471
93395,7129545
93416,7129616
93437,7129687
93458,7129758
93479,7129829
93500,7129900
93521,7129971
93542,7130043
93563,7130114
93584,7130185
93605,7130256
93626,7130327
93647,7130398
93669,7130472
93690,7130543
93711,7130614
93732,7130685
93753,7130757
93774,7130828
93795,7130899
